Date,Jawa Barat
2022-07-14,27680
2022-07-15,27920
2022-07-16,27960
2022-07-17,27890
2022-07-18,27950
2022-07-19,28260
2022-07-20,28150
2022-07-21,28100
2022-07-22,28080
2022-07-23,28020
2022-07-24,28080
2022-07-25,28000
2022-07-26,28060
2022-07-27,28110
2022-07-28,28150
2022-07-29,28080
2022-07-30,28030
2022-07-31,28170
2022-08-01,28190
2022-08-02,27770
2022-08-03,27930
2022-08-04,28090
2022-08-05,27380
2022-08-06,27640
2022-08-07,27530
2022-08-08,27510
2022-08-09,27480
2022-08-10,27350
2022-08-11,27860
2022-08-12,27790
2022-08-13,28130
2022-08-14,28830
2022-08-15,29590
2022-08-16,29800
2022-08-17,29980
2022-08-18,30070
2022-08-19,30510
2022-08-20,30510
2022-08-21,30490
2022-08-22,30850
2022-08-23,30850
2022-08-24,30780
2022-08-25,31040
2022-08-26,31070
2022-08-27,31200
2022-08-28,31090
2022-08-29,31110
2022-08-30,31120
2022-08-31,30490
2022-09-01,30470
2022-09-02,30380
2022-09-03,30310
2022-09-04,30260
2022-09-05,29910
2022-09-06,29580
2022-09-07,29520
2022-09-08,29360
2022-09-09,29120
2022-09-10,29120
2022-09-11,29050
2022-09-12,28760
2022-09-13,28640
2022-09-14,28630
2022-09-15,28340
2022-09-16,28270
2022-09-17,28210
2022-09-18,28150
2022-09-19,27570
2022-09-20,27580
2022-09-21,27210
2022-09-22,27090
2022-09-23,26790
2022-09-24,26910
2022-09-25,26710
2022-09-26,26340
2022-09-27,26250
2022-09-28,25690
2022-09-29,25540
2022-09-30,25210
2022-10-01,25370
2022-10-02,25140
2022-10-03,24580
2022-10-04,24550
2022-10-05,24610
2022-10-06,24470
2022-10-07,24480
2022-10-08,24480
2022-10-09,24560
2022-10-10,25240
2022-10-11,25610
2022-10-12,25790
2022-10-13,26020
2022-10-14,26070
2022-10-15,26120
2022-10-16,26180
2022-10-17,26240
2022-10-18,26450
2022-10-19,26520
2022-10-20,26920
2022-10-21,26700
2022-10-22,26650
2022-10-23,26600
2022-10-24,26870
2022-10-25,26900
2022-10-26,26930
2022-10-27,26960
2022-10-28,26930
2022-10-29,26880
2022-10-30,26850
2022-10-31,27000
2022-11-01,26850
2022-11-02,26900
2022-11-03,26980
2022-11-04,26700
2022-11-05,26640
2022-11-06,26710
2022-11-07,26920
2022-11-08,26910
2022-11-09,27000
2022-11-10,27110
2022-11-11,27130
2022-11-12,27160
2022-11-13,27170
2022-11-14,27390
2022-11-15,27380
2022-11-16,27510
2022-11-17,27360
2022-11-18,27430
2022-11-19,27420
2022-11-20,27520
2022-11-21,27840
2022-11-22,27860
2022-11-23,27990
2022-11-24,28480
2022-11-25,28900
2022-11-26,28950
2022-11-27,29160
2022-11-28,29860
2022-11-29,29970
2022-11-30,30090
2022-12-01,30270
2022-12-02,30180
2022-12-03,30280
2022-12-04,30540
2022-12-05,30750
2022-12-06,30770
2022-12-07,30870
2022-12-08,30880
2022-12-09,31030
2022-12-10,31050
2022-12-11,31040
2022-12-12,31050
2022-12-13,31220
2022-12-14,31390
2022-12-15,31230
2022-12-16,30980
2022-12-17,31130
2022-12-18,31060
2022-12-19,30590
2022-12-20,30500
2022-12-21,30400
2022-12-22,30200
2022-12-23,29880
2022-12-24,29810
2022-12-25,30050
2022-12-26,29680
2022-12-27,29410
2022-12-28,29230
2022-12-29,29130
2022-12-30,29070
2022-12-31,29100
2023-01-01,28910
2023-01-02,28830
2023-01-03,28650
2023-01-04,28760
2023-01-05,28690
2023-01-06,28610
2023-01-07,28520
2023-01-08,28370
2023-01-09,28140
2023-01-10,28330
2023-01-11,28340
2023-01-12,28020
2023-01-13,28160
2023-01-14,28140
2023-01-15,28330
2023-01-16,28150
2023-01-17,28090
2023-01-18,28110
2023-01-19,28030
2023-01-20,28090
2023-01-21,27930
2023-01-22,28010
2023-01-23,27980
2023-01-24,28000
2023-01-25,28030
2023-01-26,28030
2023-01-27,27950
2023-01-28,27950
2023-01-29,27830
2023-01-30,27860
2023-01-31,27800
2023-02-01,27930
2023-02-02,27810
2023-02-03,27760
2023-02-04,27690
2023-02-05,27550
2023-02-06,27610
2023-02-07,27680
2023-02-08,27680
2023-02-09,27770
2023-02-10,27830
2023-02-11,27850
2023-02-12,27730
2023-02-13,27830
2023-02-14,27760
2023-02-15,27640
2023-02-16,27610
2023-02-17,27520
2023-02-18,27890
2023-02-19,27480
2023-02-20,27320
2023-02-21,27320
2023-02-22,27280
2023-02-23,27460
2023-02-24,27130
2023-02-25,27320
2023-02-26,27290
2023-02-27,27180
2023-02-28,27360
2023-03-01,27000
2023-03-02,26910
2023-03-03,27480
2023-03-04,26920
2023-03-05,26930
2023-03-06,27070
2023-03-07,27090
2023-03-08,27340
2023-03-09,27450
2023-03-10,27640
2023-03-11,27600
2023-03-12,27520
2023-03-13,27860
2023-03-14,28220
2023-03-15,28510
2023-03-16,28940
2023-03-17,29130
2023-03-18,29470
2023-03-19,29490
2023-03-20,29900
2023-03-21,30020
2023-03-22,30160
2023-03-23,30320
2023-03-24,30230
2023-03-25,30120
2023-03-26,30300
2023-03-27,30160
2023-03-28,29930
2023-03-29,29940
2023-03-30,29940
2023-03-31,29630
2023-04-01,29610
2023-04-02,29290
2023-04-03,28940
2023-04-04,28870
2023-04-05,28680
2023-04-06,28530
2023-04-07,28570
2023-04-08,28350
2023-04-09,28190
2023-04-10,28470
2023-04-11,28410
2023-04-12,28100
2023-04-13,28400
2023-04-14,28050
2023-04-15,28190
2023-04-16,27860
2023-04-17,27500
2023-04-18,27870
2023-04-19,27980
2023-04-20,28250
2023-04-21,28670
2023-04-22,28440
2023-04-23,28350
2023-04-24,28480
2023-04-25,28330
2023-04-26,28340
2023-04-27,28200
2023-04-28,28310
2023-04-29,28240
2023-04-30,28250
2023-05-01,28390
2023-05-02,28270
2023-05-03,28160
2023-05-04,28400
2023-05-05,28580
2023-05-06,28660
2023-05-07,28690
2023-05-08,29170
2023-05-09,29340
2023-05-10,29460
2023-05-11,29670
2023-05-12,30020
2023-05-13,30120
2023-05-14,30540
2023-05-15,31280
2023-05-16,31590
2023-05-17,31920
2023-05-18,31860
2023-05-19,31710
2023-05-20,31910
2023-05-21,31970
2023-05-22,31920
2023-05-23,31860
2023-05-24,32070
2023-05-25,32040
2023-05-26,32000
2023-05-27,31980
2023-05-28,32020
2023-05-29,31930
2023-05-30,31830
2023-05-31,32020
2023-06-01,31670
2023-06-02,31530
2023-06-03,31370
2023-06-04,31400
2023-06-05,31340
2023-06-06,31230
2023-06-07,31150
2023-06-08,31020
2023-06-09,31070
2023-06-10,31000
2023-06-11,31040
2023-06-12,31110
2023-06-13,31040
2023-06-14,30990
2023-06-15,30930
2023-06-16,30850
2023-06-17,30980
2023-06-18,31040
2023-06-19,30900
2023-06-20,30890
2023-06-21,30840
2023-06-22,30680
2023-06-23,30490
2023-06-24,30600
2023-06-25,30630
2023-06-26,30850
2023-06-27,31030
2023-06-28,31120
2023-06-29,31110
2023-06-30,31110
2023-07-01,30890
2023-07-02,31050
2023-07-03,31270
2023-07-04,31390
2023-07-05,31350
2023-07-06,31520
2023-07-07,31580
2023-07-08,31440
2023-07-09,31700
2023-07-10,31590
2023-07-11,31500
2023-07-12,31600
2023-07-13,31710
2023-07-14,31770
2023-07-15,31740
2023-07-16,31680
2023-07-17,31790
2023-07-18,31740
2023-07-19,31720
2023-07-20,31680
2023-07-21,31750
2023-07-22,31810
2023-07-23,31800
2023-07-24,31560
2023-07-25,31570
2023-07-26,31630
2023-07-27,31580
2023-07-28,31560
2023-07-29,31560
2023-07-30,31520
2023-07-31,31540
2023-08-01,31740
2023-08-02,31510
2023-08-03,31320
2023-08-04,31240
2023-08-05,31150
2023-08-06,31350
2023-08-07,31270
2023-08-08,31220
2023-08-09,31320
2023-08-10,31230
2023-08-11,31100
2023-08-12,31090
2023-08-13,30940
2023-08-14,30760
2023-08-15,30670
2023-08-16,31080
2023-08-17,30710
2023-08-18,30290
2023-08-19,30370
2023-08-20,30430
2023-08-21,29570
2023-08-22,29840
2023-08-23,29330
2023-08-24,29080
2023-08-25,28930
2023-08-26,28870
2023-08-27,28830
2023-08-28,28710
2023-08-29,28690
2023-08-30,28200
2023-08-31,27810
2023-09-01,27570
2023-09-02,27340
2023-09-03,27320
2023-09-04,27490
2023-09-05,27330
2023-09-06,27800
2023-09-07,27720
2023-09-08,27660
2023-09-09,27740
2023-09-10,27700
2023-09-11,27590
2023-09-12,27670
2023-09-13,27510
2023-09-14,27410
2023-09-15,27510
2023-09-16,27270
2023-09-17,27160
2023-09-18,26930
2023-09-19,26950
2023-09-20,26920
2023-09-21,26630
2023-09-22,26710
2023-09-23,26700
2023-09-24,26680
2023-09-25,26650
2023-09-26,26530
2023-09-27,26360
2023-09-28,26430
2023-09-29,26110
2023-09-30,26400
2023-10-01,26280
2023-10-02,26160
2023-10-03,26000
2023-10-04,25840
2023-10-05,25840
2023-10-06,25950
2023-10-07,26100
2023-10-08,26230
2023-10-09,26090
2023-10-10,25990
2023-10-11,25990
2023-10-12,25910
2023-10-13,26230
2023-10-14,26050
2023-10-15,26020
2023-10-16,25730
2023-10-17,25870
2023-10-18,25870
2023-10-19,25920
2023-10-20,25890
2023-10-21,26000
2023-10-22,25960
2023-10-23,25880
2023-10-24,25880
2023-10-25,25890
2023-10-26,25830
2023-10-27,25810
2023-10-28,25800
2023-10-29,25640
2023-10-30,25710
2023-10-31,25640
2023-11-01,25660
2023-11-02,25540
2023-11-03,25580
2023-11-04,25600
2023-11-05,25640
2023-11-06,26290
2023-11-07,26490
2023-11-08,26850
2023-11-09,26920
2023-11-10,26830
2023-11-11,26910
2023-11-12,27070
